VPC,ictv_family,count
VPC-57389,Siphoviridae,16
VPC-58305,NULL,1
VPC-58305,Siphoviridae,20
VPC-61983,NULL,18
VPC-61983,Siphoviridae,1
VPC-65889,NULL,2
VPC-65889,Podoviridae,15
VPC-66203,NULL,1
VPC-66203,Podoviridae,16
VPC-66648,Podoviridae,17
VPC-7236,NULL,297
VPC-7236,Podoviridae,3
VPC-73954,NULL,1
VPC-73954,Siphoviridae,14
VPC-74481,NULL,12
VPC-74481,Siphoviridae,2
VPC-77833,Siphoviridae,13
VPC-78215,Siphoviridae,13
VPC-7830,NULL,261
VPC-7830,Siphoviridae,15
VPC-79484,NULL,3
VPC-79484,Siphoviridae,10
VPC-81270,Myoviridae,1
VPC-81270,NULL,12
VPC-82161,Siphoviridae,12
VPC-83348,Siphoviridae,12
VPC-84603,NULL,2
VPC-84603,Podoviridae,10
VPC-8627,Myoviridae,16
VPC-8627,NULL,74
VPC-8627,Siphoviridae,158
VPC-8650,NULL,19
VPC-8650,Siphoviridae,228
VPC-89868,Siphoviridae,11
VPC-90003,NULL,3
VPC-90003,Podoviridae,8
VPC-94914,NULL,9
VPC-94914,Siphoviridae,1
VPC-9555,Podoviridae,219
VPC-9568,Myoviridae,1
VPC-9568,NULL,207
VPC-9568,Siphoviridae,11
VPC-99060,Myoviridae,8
VPC-99060,Siphoviridae,1
G20C, nan
GTA-particle,nan
HK97-like, Siphoviridae 
P22, Podoviridae 
P23-45, Siphoviridae
SPP1, Siphoviridae 
epstein-barr-virus, Herpesviridae 
herpes-simplex-virus1, Herpesviridae 
karposis-sarcoma-associated-herpesvirus, Herpesviridae 
p68, Podoviridae
phi29, Podoviridae 
phi29-1jnb, Podoviridae
T7, Podoviridae 
