VPC-204745,NULL,3
VPC-205546,NULL,1
VPC-205546,Siphoviridae,2
VPC-20864,NULL,17
VPC-20864,Siphoviridae,71
VPC-211004,Siphoviridae,2
VPC-21199,Siphoviridae,86
VPC-212848,NULL,2
VPC-216024,NULL,1
VPC-216024,Siphoviridae,1
VPC-216074,NULL,1
VPC-216074,Siphoviridae,1
VPC-216134,Siphoviridae,2
VPC-216808,NULL,2
VPC-216989,Myoviridae,2
VPC-217496,NULL,2
VPC-21761,NULL,21
VPC-21761,Siphoviridae,63
VPC-218199,Siphoviridae,2
VPC-220659,NULL,1
VPC-220659,Siphoviridae,1
VPC-220776,Siphoviridae,2
VPC-222113,Siphoviridae,2
VPC-224223,Siphoviridae,2
VPC-224620,Siphoviridae,2
VPC-225073,Siphoviridae,2
VPC-227171,NULL,2
VPC-227767,Siphoviridae,2
VPC-230555,NULL,2
VPC-23094,NULL,39
VPC-23094,Siphoviridae,39
VPC-23207,NULL,1
VPC-23207,Siphoviridae,76
VPC-232133,Siphoviridae,2
VPC-235175,NULL,2
VPC-235696,NULL,1
VPC-235696,Siphoviridae,1
VPC-236599,NULL,2
VPC-23996,NULL,24
VPC-23996,Siphoviridae,50
VPC-243135,Siphoviridae,2
VPC-245057,Siphoviridae,2
VPC-24731,Myoviridae,1
VPC-24731,NULL,61
VPC-24731,Siphoviridae,9
VPC-249396,Siphoviridae,2
VPC-249753,NULL,1
VPC-249753,Siphoviridae,1
VPC-253546,NULL,1
VPC-253546,Siphoviridae,1
VPC-256416,Siphoviridae,2
VPC-257132,NULL,1
VPC-257132,Siphoviridae,1
VPC-258798,NULL,1
VPC-258798,Siphoviridae,1
VPC-260388,Siphoviridae,2
VPC-263518,NULL,2
VPC-263976,Siphoviridae,2
VPC-264371,Siphoviridae,2
VPC-265008,Siphoviridae,2
VPC-26704,NULL,48
VPC-26704,Siphoviridae,16
VPC-267842,NULL,1
VPC-267842,Siphoviridae,1
VPC-267939,Myoviridae,2
VPC-268,Myoviridae,3
VPC-268,NULL,2198
VPC-268,Siphoviridae,894
VPC-268,crAss-phage,6
VPC-268713,Siphoviridae,2
VPC-269197,Siphoviridae,2
VPC-269284,Siphoviridae,2
VPC-27,Myoviridae,4970
VPC-27,NULL,874
VPC-270890,NULL,2
VPC-271512,NULL,2
VPC-271623,Siphoviridae,2
VPC-272176,NULL,2
VPC-272752,Siphoviridae,2
VPC-273301,Siphoviridae,2
VPC-2734,NULL,125
VPC-2734,Siphoviridae,623
VPC-274821,Siphoviridae,2
VPC-274845,NULL,2
VPC-275172,NULL,2
VPC-2755,NULL,2
VPC-2755,Siphoviridae,742
VPC-276783,NULL,2
VPC-277543,NULL,2
VPC-277864,Myoviridae,2
VPC-277884,Siphoviridae,2
VPC-27851,Siphoviridae,61
VPC-279506,Siphoviridae,1
VPC-282557,NULL,1
VPC-282664,NULL,1
VPC-283351,Siphoviridae,1
VPC-284369,Myoviridae,1
VPC-284370,Myoviridae,1
VPC-287,Myoviridae,18
VPC-287,NULL,2814
VPC-287,Siphoviridae,167
VPC-287216,Siphoviridae,1
VPC-287217,Siphoviridae,1
VPC-289885,NULL,1
VPC-29313,NULL,43
VPC-29313,Siphoviridae,14
VPC-294895,NULL,1
VPC-296506,Siphoviridae,1
VPC-300664,NULL,1
VPC-301185,NULL,1
VPC-30315,NULL,2
VPC-30315,Siphoviridae,53
VPC-304162,Siphoviridae,1
VPC-304754,NULL,1
VPC-30484,NULL,40
VPC-30484,Siphoviridae,14
VPC-306993,NULL,1
VPC-307,Myoviridae,109
VPC-307,NULL,595
VPC-307,Siphoviridae,2159
VPC-30789,NULL,28
VPC-30789,Siphoviridae,25
VPC-309686,Siphoviridae,1
VPC-310441,NULL,1
VPC-311157,NULL,1
VPC-312835,NULL,1
VPC-313012,Myoviridae,1
VPC-314613,Siphoviridae,1
VPC-314675,Siphoviridae,1
VPC-315100,Siphoviridae,1
VPC-317689,Siphoviridae,1
VPC-317877,Siphoviridae,1
VPC-31863,Siphoviridae,51
VPC-319378,NULL,1
VPC-319408,NULL,1
VPC-319569,Myoviridae,1
VPC-320865,Siphoviridae,1
VPC-321808,NULL,1
VPC-322507,NULL,1
VPC-323380,Siphoviridae,1
VPC-324022,Siphoviridae,1
VPC-324133,NULL,1
VPC-324788,Siphoviridae,1
VPC-324806,NULL,1
VPC-326508,NULL,1
VPC-328286,Siphoviridae,1
VPC-328291,Siphoviridae,1
VPC-32844,NULL,24
VPC-32844,Siphoviridae,24
VPC-331677,Siphoviridae,1
VPC-332114,Siphoviridae,1
VPC-332351,Siphoviridae,1
VPC-33319,NULL,1
VPC-33319,Siphoviridae,46
VPC-334073,Siphoviridae,1
VPC-334586,Siphoviridae,1
VPC-33589,NULL,44
VPC-33589,Siphoviridae,3
VPC-337514,Siphoviridae,1
VPC-338260,Siphoviridae,1
VPC-338864,NULL,1
VPC-33905,NULL,37
VPC-33905,Podoviridae,1
VPC-33905,Siphoviridae,8
VPC-339496,NULL,1
VPC-339991,Siphoviridae,1
VPC-340625,Siphoviridae,1
VPC-342220,Siphoviridae,1
