VPC,Genome,family
VPC-227171, NULL
VPC-227767, Siphoviridae
VPC-230555, NULL
VPC-232133, Siphoviridae
VPC-235175, NULL
VPC-235696, Siphoviridae
VPC-236599, NULL
VPC-243135, Siphoviridae
VPC-245057, Siphoviridae
VPC-249396, Siphoviridae
VPC-249753, NULL
VPC-253546, NULL
VPC-256416, Siphoviridae
VPC-257132, Siphoviridae
VPC-258798, NULL
VPC-260388, Siphoviridae
VPC-263518, NULL
VPC-263976, Siphoviridae
VPC-264371, Siphoviridae
VPC-265008, Siphoviridae
VPC-267842, NULL
VPC-267939, Myoviridae
VPC-268713, Siphoviridae
VPC-269197, Siphoviridae
VPC-269284, Siphoviridae
VPC-270890, NULL
VPC-271512, NULL
VPC-271623, Siphoviridae
VPC-272176, NULL
VPC-272752, Siphoviridae
VPC-273301, Siphoviridae
VPC-274821, Siphoviridae
VPC-274845, NULL
VPC-275172, NULL
VPC-276783, NULL
VPC-277543, NULL
VPC-277864, Myoviridae
VPC-277884, Siphoviridae
VPC-279506, Siphoviridae
VPC-282557, NULL
VPC-282664, NULL
VPC-283351, Siphoviridae
VPC-284369, Myoviridae
VPC-284370, Myoviridae
VPC-287216, Siphoviridae
VPC-287217, Siphoviridae
VPC-289885, NULL
VPC-294895, NULL
VPC-296506, Siphoviridae
VPC-300664, NULL
VPC-301185, NULL
VPC-304162, Siphoviridae
VPC-304754, NULL
VPC-306993, NULL
VPC-309686, Siphoviridae
VPC-310441, NULL
VPC-311157, NULL
VPC-312835, NULL
VPC-313012, Myoviridae
VPC-314613, Siphoviridae
VPC-314675, Siphoviridae
VPC-315100, Siphoviridae
VPC-317689, Siphoviridae
VPC-317877, Siphoviridae
VPC-319378, NULL
VPC-319408, NULL
VPC-319569, Myoviridae
VPC-320865, Siphoviridae
VPC-321808, NULL
VPC-322507, NULL
VPC-323380, Siphoviridae
VPC-324022, Siphoviridae
VPC-324133, NULL
VPC-324788, Siphoviridae
VPC-324806, NULL
VPC-326508, NULL
VPC-328286, Siphoviridae
VPC-328291, Siphoviridae
VPC-331677, Siphoviridae
VPC-332114, Siphoviridae
VPC-332351, Siphoviridae
VPC-334073, Siphoviridae
VPC-334586, Siphoviridae
VPC-337514, Siphoviridae
VPC-338260, Siphoviridae
VPC-338864, NULL
VPC-339496, NULL
VPC-339991, Siphoviridae
VPC-340625, Siphoviridae
VPC-342220, Siphoviridae
VPC-343800, Siphoviridae
VPC-344386, Siphoviridae
VPC-344387, Siphoviridae
VPC-344727, Siphoviridae
VPC-348374, NULL
VPC-350464, Siphoviridae
VPC-352309, Siphoviridae
VPC-354733, NULL
VPC-356056, Myoviridae
VPC-358990, Siphoviridae
VPC-359387, NULL
VPC-363008, Siphoviridae
VPC-363243, NULL
VPC-363244, NULL
VPC-365137, Siphoviridae
VPC-366538, Siphoviridae
VPC-367871, Siphoviridae
VPC-373959, Siphoviridae
VPC-375097, NULL
VPC-375659, Siphoviridae
VPC-379071, Siphoviridae
VPC-381808, Myoviridae
VPC-386774, Siphoviridae
VPC-388580, NULL
VPC-388871, Siphoviridae
VPC-389090, NULL
VPC-389091, NULL
VPC-389842, Siphoviridae
VPC-391811, Siphoviridae
VPC-394648, Siphoviridae
VPC-397373, NULL
VPC-398110, Siphoviridae
VPC-398631, Siphoviridae
VPC-399166, Siphoviridae
VPC-400686, NULL
VPC-401771, Siphoviridae
VPC-402440, NULL
VPC-405474, Myoviridae
VPC-406655, NULL
VPC-409906, Siphoviridae
VPC-411512, Siphoviridae
VPC-413038, NULL
VPC-415202, Siphoviridae
VPC-415626, NULL
VPC-417273, Siphoviridae
VPC-417572, Siphoviridae
VPC-420219, NULL
VPC-421220, Podoviridae
VPC-422245, Siphoviridae
VPC-425204, Siphoviridae
VPC-429045, Siphoviridae
VPC-429391, Siphoviridae
VPC-432882, NULL
VPC-433005, NULL
VPC-433187, Siphoviridae
VPC-434687, Siphoviridae
VPC-435521, Siphoviridae
VPC-437512, Siphoviridae
VPC-439813, NULL
VPC-440066, NULL
VPC-440968, Siphoviridae
VPC-440987, Siphoviridae
VPC-442572, NULL
VPC-443904, Siphoviridae
VPC-448956, Siphoviridae
VPC-450342, NULL
VPC-450343, NULL
VPC-450575, Siphoviridae
VPC-453510, Siphoviridae
VPC-454198, Siphoviridae
VPC-456781, NULL
VPC-457066, Myoviridae
VPC-458516, NULL
